"_id","_index","_score",auteur,contenu,langue,score,sentiment,titre
"wHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"one ever helpme like bully",no,0,neutre,"Post 651da68a"
"wXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"friend get call nigger mexican chick",en,0,neutre,"Post 15698f68"
"wnVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"idiot I m talk halal product muslim say halal product mean muslim",en,"-0.556",negatif,"Post da22f944"
"w3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"saidthe basic criterion muslim chootiya become katua make perfect idiot follower allah",en,"0.067",neutre,"Post 3b1b98a7"
"xHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"israel us enemy",nl,0,neutre,"Post 05221ff6"
"xXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"bangladesh loose country",en,"-0.077",neutre,"Post a10a33f5"
"xnVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"bangladesh allout run",en,0,neutre,"Post 7b276dd8"
"x3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"love sunny leone sweet children",en,"0.425",positif,"Post afc2c474"
"yHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"big friend bangladesh",da,0,neutre,"Post 54c20181"
"yXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"tired babei fly like cloud ur mind",da,"0.2",positif,"Post 05a3fc92"
"ynVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"hahaha well take care",so,"0.2",positif,"Post 8c3fb083"
"y3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"heroalom fool bangladesh actor",en,0,neutre,"Post 7ca57e8d"
"zHVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"yay yaya dance floor like way confident body",so,"0.5",positif,"Post 102713ff"
"zXVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"bangladesh beautiful country",en,"0.85",positif,"Post 248d0944"
"znVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"holy fuck girl can not stuff like",en,"-0.4",negatif,"Post 79dfabee"
"z3VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"son bitch",en,0,neutre,"Post 24852920"
"0HVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"r u drty slut",cy,0,neutre,"Post d26131c0"
"0XVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"dirty mind people",en,"-0.6",negatif,"Post 4d1445b2"
"0nVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"look like beatiful",af,0,neutre,"Post 3c14dcd0"
"03VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"wish arena partner",en,0,neutre,"Post 593cc3bd"
"1HVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"see soon bebs",af,0,neutre,"Post 9c2cb06b"
"1XVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,kill,fi,0,neutre,"Post 93b7191a"
"1nVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"oil machine",en,0,neutre,"Post 1ba08b10"
"13VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"love flower",en,"0.5",positif,"Post 34609b07"
"2HVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"fatty fat fat",sv,"-0.2",negatif,"Post ff1eae67"
"2XVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"maram want research root",en,0,neutre,"Post 861e5c1f"
"2nVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"look like gypsy sorry I m sorry",no,"-0.5",negatif,"Post a94287b5"
"23VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"walk shelter puppy date",en,0,neutre,"Post a3ac27a8"
"3HVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"wait fb ban",sw,0,neutre,"Post 82f3863e"
"3XVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"heroalom er cehara dekte akebare nispap baccha",no,0,neutre,"Post 5c35b816"
"3nVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"muslim brotherhood president egypt remove obama guy idiot",en,"-0.8",negatif,"Post ebb2afbe"
"33VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"restrict jihadisterrorist conspire ghazwaehind darulharb jihad hindushindutvahindusthanhumanity",en,0,neutre,"Post cc0d2ffc"
"4HVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"hindus son bitch",en,0,neutre,"Post f6c87857"
"4XVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"bnp power election",en,0,neutre,"Post 8e4bfd48"
"4nVLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"hey girl sexy figure nice",en,"0.55",positif,"Post 18b30294"
"43VLy5cBhDi2_Tqn5ELl","harcelement_posts",1,anonyme,"love country",en,"0.5",positif,"Post fe9b19cf"
"5HVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"none show anything past current plan",en,"-0.125",negatif,"Post 603a7473"
"5XVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"see white girlboy act dumb hateful nigger beaner since election fuck white people racist",en,"-0.194",negatif,"Post 7b38706c"
"5nVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"kimjonun dangerous person",id,"-0.6",negatif,"Post dbc9d685"
"53VLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"shut fuck red dumb nigger",da,"-0.258",negatif,"Post 97fd7bae"
"6HVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"fuck u baby",so,"-0.4",negatif,"Post ef8a440f"
"6XVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"look like pretty",no,"0.25",positif,"Post 618fe96f"
"6nVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"sister baby cute",en,"0.5",positif,"Post da4306c2"
"63VLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"fucking forget mad",da,"-0.613",negatif,"Post 042b7f24"
"7HVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"tourist suck bad",en,"-0.7",negatif,"Post 53674fd5"
"7XVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,suck,en,0,neutre,"Post 8fb2fa48"
"7nVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,fuck,es,"-0.4",negatif,"Post 073a5005"
"73VLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"tui kon bal hoicos",et,0,neutre,"Post 5e58ddaa"
"8HVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,finish,sq,0,neutre,"Post 1eaa6c07"
"8XVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,salat,tl,0,neutre,"Post fff5dd3d"
"8nVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"get system work",af,0,neutre,"Post 283f01f0"
"83VLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"fuck boy luss",en,"-0.4",negatif,"Post 6044411e"
"9HVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,hate,en,"-0.8",negatif,"Post da27bcfd"
"9XVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"I m sure loser",fr,"0.5",positif,"Post f9fa411a"
"9nVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"want fuck",sw,"-0.4",negatif,"Post 618770c6"
"93VLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,mine,et,0,neutre,"Post ff0b6ace"
"-HVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,kill,fi,0,neutre,"Post f5c0e679"
"-XVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"think feel one ur first sense go",en,"0.25",positif,"Post e413812d"
"-nVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"racism country what s drive we nut",en,0,neutre,"Post c19a0870"
"-3VLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"let law diligence moron",fr,"-0.8",negatif,"Post 20a7bbfc"
"_HVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"friend stupid nigger help",da,"-0.8",negatif,"Post 658677a9"
"_XVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"wow sexy girl",pl,"0.3",positif,"Post d61df3a4"
"_nVLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"one night stay bby",en,0,neutre,"Post e61c51c3"
"_3VLy5cBhDi2_Tqn5ELm","harcelement_posts",1,anonyme,"fire muslim people",ro,0,neutre,"Post 8ce7fa28"
"AHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"I m sure universe",fr,"0.5",positif,"Post 50dfb803"
"AXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"mondir vanish world",af,0,neutre,"Post d5c4b8de"
"AnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,like,et,0,neutre,"Post 2dd1693d"
"A3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"want buy car",so,0,neutre,"Post 7907236b"
"BHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"want talk",so,0,neutre,"Post 33ae659f"
"BXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"hot figure",en,"0.25",positif,"Post 8d6c92b4"
"BnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"like paint",fi,0,neutre,"Post d2a078d0"
"B3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"poor people",en,"-0.4",negatif,"Post 7eac9c1d"
"CHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"kill buddis people",et,0,neutre,"Post 134d656f"
"CXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"want computer engineer",en,0,neutre,"Post 265edd82"
"CnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"brazil country europe",it,0,neutre,"Post 8f70b5e2"
"C3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"want something",en,0,neutre,"Post 7bf3e0be"
"DHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"go take",hr,0,neutre,"Post 7703d0c5"
"DXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"borrow car",en,0,neutre,"Post ac5256db"
"DnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"julie talk fast",fi,"0.2",positif,"Post e62656e1"
"D3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"see every week",af,0,neutre,"Post d1b3e6c2"
"EHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"train usually leave",en,"-0.25",negatif,"Post 9fa43082"
"EXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,cruel,es,"-1",negatif,"Post 4c2c24ad"
"EnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,take,fi,0,neutre,"Post 39d37207"
"E3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"talk badly",so,"-0.7",negatif,"Post 89c5ae71"
"FHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"country improve",en,0,neutre,"Post 8bfa8f16"
"FXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"muslim talk idiot",et,"-0.8",negatif,"Post 83e5b6d3"
"FnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"figure much hot",en,"0.25",positif,"Post 055b6182"
"F3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"kiss u",fi,0,neutre,"Post c4b6394b"
"GHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"take easy",fi,"0.433",positif,"Post 4e484abf"
"GXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"do not worry",af,0,neutre,"Post dba15d68"
"GnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"what s fuck girl",en,"-0.4",negatif,"Post 29ea75b2"
"G3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"u poor people",hr,"-0.4",negatif,"Post 86728242"
"HHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"want buy car",so,0,neutre,"Post 20f61e53"
"HXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,wife,cy,0,neutre,"Post 41fe93a9"
"HnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"look like bitch",af,0,neutre,"Post 6e8ade88"
"H3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"drink alcohol beat wife",en,0,neutre,"Post 6bb03852"
"IHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"eid day bad day month",so,"-0.7",negatif,"Post 8488f2a8"
"IXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"say earth flat like carpet idiot",en,"-0.413",negatif,"Post 68c6ddd3"
"InVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"prophet muhamad sws declare islam afull religion",en,0,neutre,"Post 26887c4f"
"I3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,sexy,so,"0.5",positif,"Post 72306c1a"
"JHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"tor cehara na dekhay vlo",sk,0,neutre,"Post b974c6bb"
"JXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"muslims force woman cover stay home",en,0,neutre,"Post b3f0a484"
"JnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,want,sw,0,neutre,"Post 3b840c3e"
"J3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,kid,et,0,neutre,"Post 2e693d31"
"KHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"damn good",so,"0.7",positif,"Post 14d7c345"
"KXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"love place",cs,"0.5",positif,"Post 00bc849b"
"KnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,fuck,sv,"-0.4",negatif,"Post 5657f207"
"K3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,lier,fr,0,neutre,"Post bd2df7b8"
"LHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"thank kitty",fi,0,neutre,"Post 5cde87da"
"LXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"third gender people",en,0,neutre,"Post 5978c3c8"
"LnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,wait,sw,0,neutre,"Post 894274bc"
"L3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,hate,en,"-0.8",negatif,"Post 670bf3e6"
"MHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"hey girl sleep night",af,0,neutre,"Post 085e4e91"
"MXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"hate lucky charm",en,"-0.233",negatif,"Post ef0c9cf1"
"MnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"nuclear weapon pose threat everyone",en,0,neutre,"Post 52fd5463"
"M3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"police take terrorist",en,0,neutre,"Post 2713bf57"
"NHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"hope kidnapper carry threat kill hostage",en,0,neutre,"Post 712611fb"
"NXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"three main line railway station close",en,"0.167",positif,"Post 1977e5e7"
"NnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"key witness prosecution offer police protection receive",en,0,neutre,"Post 41a954b2"
"N3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"ur still muslim till day judgment shock u would learn allah one true god",en,"0.35",positif,"Post 7565d7cc"
"OHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"expect trouble weekend radical christians support",en,"-0.2",negatif,"Post a01acab5"
"OXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"another day office",en,0,neutre,"Post eaa107d9"
"OnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"dawg want bitch suffer",cy,0,neutre,"Post 9fc9d562"
"O3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"answer claim idiot send quran verse talk muslim go hell",af,"-0.8",negatif,"Post a1ceb54d"
"PHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"stop ask question lil nigga",fr,0,neutre,"Post e62f62c1"
"PXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"divide india ground islam jinna order direct ac consequently murder hindu do",en,"0.1",neutre,"Post b5ef9301"
"PnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"watch movie",en,0,neutre,"Post 5daa5401"
"P3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"noods virul",af,0,neutre,"Post fc0f1f9c"
"QHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"know watch tomorrow eat",en,0,neutre,"Post 2850dbeb"
"QXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"haha bad student",id,"-0.25",negatif,"Post 39a9cd7f"
"QnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"video nice",es,"0.6",positif,"Post 46e64956"
"Q3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"video worth go viral",en,"0.3",positif,"Post 296ee485"
"RHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"next tik tok super star friend",sv,"0.167",positif,"Post d6ecf1fe"
"RXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"can not believe keep grow keep",nl,0,neutre,"Post e83ec9c3"
"RnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"love tiktok video quite entertain",no,"0.5",positif,"Post f337ae47"
"R3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"cute feel sorry hear people think thai kpop fan hate",en,"-0.267",negatif,"Post 254c7bdd"
"SHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"hey girl per night tk",en,0,neutre,"Post 145e6b47"
"SXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,foolish,en,0,neutre,"Post d27bdf99"
"SnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"make orchestral music",en,0,neutre,"Post 1302303d"
"S3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"bad hurt unprotected right",en,"-0.207",negatif,"Post 112f5b5a"
"THVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"tattoo shit forehead",en,"-0.2",negatif,"Post 15dfbe0c"
"TXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"really appreciate kind word I m big admirer voice",en,"0.267",positif,"Post 5341cee5"
"TnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"be not go work we ve get maturity great year old",en,"0.45",positif,"Post b4680560"
"T3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"look absolutely stunning",et,"0.5",positif,"Post 460e89a5"
"UHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"smile brighten day",da,"0.3",positif,"Post c2071559"
"UXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"post make smile thank share",en,"0.3",positif,"Post 5171784b"
"UnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"always cool adventure",en,"0.35",positif,"Post a29300a2"
"U3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"thank help you re lifesaver",en,0,neutre,"Post 0506484f"
"VHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"I m grateful life",ro,0,neutre,"Post ee2541e8"
"VXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"yeah that s picture like hero alom",en,0,neutre,"Post d9c5da7e"
"VnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"hard work dedication truly admirable",en,"-0.292",negatif,"Post 2532b318"
"V3VLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"ever need hand let know",en,0,neutre,"Post bcbe412e"
"WHVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"I m support way",en,0,neutre,"Post 9038a789"
"WXVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"do not hesitate reach need anything",en,0,neutre,"Post 91b53bf8"
"WnVLy5cBhDi2_Tqn5EPm","harcelement_posts",1,anonyme,"happy birthday may year fill joy success",en,"0.633",positif,"Post 54a77dff"
"W3VLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"another year wise fabulous enjoy day",en,"0.5",positif,"Post 56557e67"
"XHVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"birthday reminder special fantastic celebration",en,"0.379",positif,"Post 7c92ae34"
"XXVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"someone share personal story",en,0,neutre,"Post 6ad428ef"
"XnVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"photography skill exceptional picture tell story",en,"0.667",positif,"Post 3d259260"
"X3VLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"leadership style inspire lead example",en,0,neutre,"Post d89e7254"
"YHVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"way handle challenge motivate team admirable",en,0,neutre,"Post 6452165c"
"YXVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"bring good everyone work true leader",en,"0.525",positif,"Post e05ecbb3"
"YnVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"talent know bound",en,0,neutre,"Post 90ffe62c"
"Y3VLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"incredible way word",en,"0.9",positif,"Post c717cde3"
"ZHVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"matter well get together",nl,0,neutre,"Post 92c466ea"
"ZXVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"you re incredibly strong believe ability overcome",en,"0.433",positif,"Post adfae239"
"ZnVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"send positive vibe strength need right",en,"0.256",positif,"Post 8a33d8d1"
"Z3VLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"recognize someone creativity",it,0,neutre,"Post cfa7637c"
"aHVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"artistic talent true gift world keep create",en,"0.342",positif,"Post e3d26c37"
"aXVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"love story beautiful wedding magical celebration",en,"0.617",positif,"Post 1a976b84"
"anVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"may journey together full wonderful adventure cherish moment",en,"0.675",positif,"Post d628f452"
"a3VLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"I m always amazed artistic talent",en,"0.333",positif,"Post 0d968b2c"
"bHVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"passion insert interest inspire",fr,0,neutre,"Post 4e01eda8"
"bXVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"be not go work we ve get maturity great year old",en,"0.45",positif,"Post 465f117d"
"bnVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"look absolutely stunning",et,"0.5",positif,"Post eb2a9d72"
"b3VLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"smile brighten day",da,"0.3",positif,"Post 178302fc"
"cHVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"believe yourselfyouve get",nl,0,neutre,"Post 654d0d4c"
"cXVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"do not give you re strong think",en,"0.433",positif,"Post 1f6b669b"
"cnVLy5cBhDi2_Tqn5EPn","harcelement_posts",1,anonyme,"dedication hard work pay keep",en,"-0.292",negatif,"Post 87983778"
